facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Serewo Health Centre,1.3323091,35.0001665,Level 3,West Pokot,West Pokot,Riwo,open,Health Center,Government/Public Entity
Sergoit Health Centre (Keiyo),0.6755783,35.4435,Level 3,Elgeyo Marakwet,Keiyo North,Kamariny,open,Health Center,Government/Public Entity
Setano Dispensary,0.207022,35.619162,Level 2,Elgeyo Marakwet,Keiyo South,Soy South,open,Dispensary,Government/Public Entity
Setek Dispensary,0.0023745,35.3925983,Level 2,Nandi,Tinderet,Tinderet,open,Dispensary,Government/Public Entity
Shankoe Dispensary,-0.9776131,34.7927839,Level 2,Narok,Transmara West,Shankoe,open,Dispensary,Government/Public Entity
Shompole Health Centre,-2.0932838,36.1184868,Level 3,Kajiado,Kajiado West,Magadi,open,Health Center,Government/Public Entity
Mama Gladys Chika Community Medical Centre (Siaya county),-0.2211758,34.3356786,Level 2,Siaya,NA,North uyoma ward,open,Medical Clinic,Private
Sibilo Dispensary,0.7073198,35.896011,Level 2,Baringo,Baringo North,Saimo/Soi,open,Dispensary,Government/Public Entity
Sigoro Dispensary,0.1191649,35.7336106,Level 2,Baringo,Koibatek,Lembus Kwen,open,Dispensary,Government/Public Entity
Sigot Dispensary,0.4292777,35.1572256,Level 2,Nandi,Mosop,Kabisaga,open,Dispensary,Government/Public Entity
Sikhendu Medical Centre,0.8355296,34.8659245,Level 3,Trans Nzoia,Kiminini,Sikhendu,open,Medical Center,Private
Siloam Clinic,1.169984,35.1121729,Level 2,Trans Nzoia,Kwanza,Kwanza,open,Medical Clinic,Private
Simba Health Centre,-2.1589099,37.5942549,Level 3,Kajiado,Kajiado East,Kenyawa-poka,open,Health Center,Government/Public Entity
Simbi Dispensary,-0.72589,35.0589783,Level 2,Bomet,Sotik,Rongena/Manaret,open,Dispensary,Government/Public Entity
Simotwet Dispensary,-0.4540677,35.2934908,Level 2,Bomet,Konoin,Chepchabas,open,Dispensary,Private
Simotwo Dispensary (Eldoret East),0.7892952,35.4105244,Level 2,Uasin Gishu,Moiben,Moiben,open,Dispensary,Government/Public Entity
Simotwo Dispensary (Keiyo),0.2196583,35.5379717,Level 2,Elgeyo Marakwet,Keiyo South,Kabiemit,open,Health Center,Government/Public Entity
Healthy Lifestyles Weight Loss Ltd (Nairobi),-1.2624291,36.8222882,Level 2,Nairobi,NA,Parklands,open,Medical Clinic,Private
Sina Dispensary,1.2668728,35.3657785,Level 2,West Pokot,Pokot South,Tapach,open,Dispensary,Government/Public Entity
Singiraine Dispensary,-1.9186498,36.4961559,Level 2,Kajiado,Kajiado West,Iloodokilani,open,Dispensary,Government/Public Entity
Siomo Health Centre,-0.5616903,35.382228,Level 3,Bomet,Konoin,Embomos,open,Health Center,Government/Public Entity
Siongi Dispensary,-0.5818467,35.09341,Level 2,Kericho,Bureti,Tebesonik,open,Dispensary,Government/Public Entity
Sipili Health Centre,0.4044717,36.3790643,Level 3,Laikipia,Laikipia West,Ol-moran,open,Health Center,Government/Public Entity
Sirata Oirobi Health Centre,1.048025,36.6490929,Level 2,Samburu,Samburu Central,Porro,open,Health Center,Government/Public Entity
Siret Tea Dispensary,0.0646033,35.2437383,Level 2,Nandi,Nandi Hills,Chepkunyuk,open,Dispensary,Government/Public Entity
Sirwa Dispensary (Mogotio),0.1772276,35.771887,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Government/Public Entity
Sirwa Dispensary,0.0995802,35.309205,Level 2,Nandi,Nandi Hills,Kapchorua,open,Dispensary,Government/Public Entity
Sisiya Dispensary,0.9945824,35.5877977,Level 2,Elgeyo Marakwet,Marakwet West,Kapsowar,open,Dispensary,Government/Public Entity
Sitoi Tea Dispensary,0.0881909,35.1345851,Level 2,Nandi,Nandi Hills,Nandi Hills,open,Dispensary,Private
Siwo Dispensary,0.172915,35.2090717,Level 2,Nandi,Nandi Hills,Chepkunyuk,open,Dispensary,Government/Public Entity
Siyiapei (AIC) Dispensary,-1.0888121,35.9552752,Level 2,Narok,Narok North,Melili,open,Dispensary,Government/Public Entity
Enkitok Joy Nursing Home,-1.4279994,36.6851296,Level 3,Kajiado,Kajiado West,Keekonyokie,open,Nursing Home,Private
Soba River Health Centre,-0.0737706,35.2639592,Level 3,Nandi,Tinderet,Songhor/Soba,open,Health Center,Government/Public Entity
Sochoi Dispensary,0.1914839,35.3480014,Level 2,Nandi,Nandi Hills,Ol'lessos,open,Dispensary,Government/Public Entity
Sogon Dispensary,0.5577628,35.8162915,Level 2,Baringo,Marigat,Marigat,open,Dispensary,Government/Public Entity
Huduma Hopecare Clinic (Narok),-1.61855,35.3914233,Level 2,Narok,NA,Siana,open,Medical Clinic,Private
Sogoo Health Centre,-0.8299316,35.5809156,Level 3,Narok,Narok South,Sogoo,open,Health Center,Government/Public Entity
Solian Dispensary,-0.0013747,35.756109,Level 2,Baringo,Koibatek,Koibatek,open,Dispensary,Government/Public Entity
Soliat Dispensary,-0.328215,35.1208312,Level 2,Kericho,Sigowet/Soin,Soliat,open,Dispensary,Government/Public Entity
Sondany Dispensary,1.3260729,35.4237358,Level 2,West Pokot,Pokot South,Tapach,open,Dispensary,Government/Public Entity
Songeto Dispensary,0.5935383,35.5556783,Level 2,Elgeyo Marakwet,Keiyo North,Tambach,open,Dispensary,Government/Public Entity
Sore Dispensary,0.199076,35.754774,Level 2,Baringo,Mogotio,Mogotio,open,Dispensary,Government/Public Entity
Sosiani Health Centre,0.5670624,35.1576243,Level 3,Uasin Gishu,Turbo,Kamagut,open,Health Center,Government/Public Entity
Sosit Dispensary,-0.6391556,35.1669627,Level 2,Kericho,Bureti,Kapkatet,open,Dispensary,Government/Public Entity
Sotik Health Centre,-0.6940356,35.1064376,Level 3,Bomet,Sotik,Chemagel,open,Health Center,Government/Public Entity
Sotit dispensary,-0.5807343,35.3619927,Level 2,Bomet,Konoin,Embomos,open,Dispensary,Government/Public Entity
South Horr health Centre,2.0917842,36.9200716,Level 3,Samburu,Samburu North,Nyiro,open,Health Center,Government/Public Entity
South Horr (Catholic) Health Centre,2.0980797,36.9163974,Level 3,Samburu,Samburu North,Nyiro,open,Health Center,Faith Based
Soy Health Centre,0.6742906,35.173273,Level 3,Uasin Gishu,Soy,Soy,open,Health Center,Government/Public Entity
Soymet Dispensary,-0.7106464,35.1529179,Level 2,Bomet,Sotik,Kapletundo,open,Dispensary,Government/Public Entity
St Ann Medical Clinic (Naivasha),-0.9834217,36.586795,Level 2,Nakuru,Naivasha,Mai Mahiu,open,Medical Clinic,Private
St Anthony Lemek Dispensary,-1.1017361,35.385795,Level 2,Narok,Narok West,Mara,open,Health Center,Faith Based
St Antony's Abossi Health Centre,-0.9149831,35.0590911,Level 3,Narok,Transmara East,Ololmasani,open,Health Center,Faith Based
St Boniface Dispensary,0.1832372,34.9442741,Level 2,Nandi,Emgwen,Kapkangani,open,Dispensary,Faith Based
St Catherine Napetet Dispensary,3.1245933,35.6171801,Level 2,Turkana,Turkana Central,Lodwar Township,open,Dispensary,Faith Based
St Clare Health Centre,-0.2925293,35.7891922,Level 3,Nakuru,Molo,Elburgon,open,Health Center,Faith Based
St Elizabeth Health Centre,-1.5467324,35.8579602,Level 3,Narok,Narok South,Maji Moto/Naroosura,open,Health Center,Faith Based
St Francis Health Centre (Subukia),0.106423,36.2759656,Level 3,Nakuru,Subukia,Waseges,open,Health Center,Faith Based
Sister Freda's Medical Centre,0.958958,34.9389929,Level 3,Trans Nzoia,Kiminini,Nabiswa,open,Medical Center,Private
St Joseph Catholic Dispensary (Laikipia East),-0.0648809,36.7996791,Level 2,Laikipia,Laikipia East,Ngobit,open,Health Center,Faith Based
St Martin De Porres (Mobile),-0.2019638,35.6964509,Level 2,Nakuru,Kuresoi North,Kamara,open,Medical Clinic,Faith Based
St Martin De Porres (Static),-0.2019118,35.6964979,Level 2,Nakuru,Kuresoi North,Kamara,open,Dispensary,Faith Based
St Mary Health Centre (Kiserian),-1.4321647,36.6849219,Level 3,Kajiado,Kajiado West,Keekonyokie,open,Health Center,Faith Based
St Mary Medical Clinic (Nakuru North),-0.2279377,36.1217644,Level 2,Nakuru,Nakuru North,Kiamaina,open,Medical Clinic,Private
St Mary's Kapsoya Dispensary,0.5220384,35.3039614,Level 2,Uasin Gishu,Ainabkoi,Kapsoya,open,Health Center,Faith Based
