"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Rukuriri Dispensary",-0.3732841,37.5435274,"Level 2","Embu","Runyenjes","Kyeni North","open","Dispensary","Government/Public Entity",6460,"Embu",TRUE
"Irmarba Dispensary",-2.2388897,36.6647501,"Level 2","Kajiado","Kajiado Central","Matapato North","open","Dispensary","Government/Public Entity",6461,"Kajiado",TRUE
"Samaritan Medical Services (Nairobi)",-1.2422826,36.9117691,"Level 3","Nairobi",NA,"Dandora 4","open","Health Center","Non-Governmental Organization",6462,"Nairobi",TRUE
"Linda Jamii Clinic",-0.2088473,34.3382384,"Level 2","Siaya","Rarieda","West Asembo","open","Medical Clinic","Private",6463,"Siaya",TRUE
"Lupe Medical Centre",0.2901252,34.7680918,"Level 2","Kakamega","Lurambi","Shirere","open","Medical Center","Private",6464,"Kakamega",TRUE
"Olchorro Dispensary",-2.892765,37.4640783,"Level 2","Kajiado","Loitokitok","Entonet/Lenkism","open","Dispensary","Government/Public Entity",6465,"Kajiado",TRUE
"Tumaini Letu Health Services (Machakos)",-1.5184488,37.26914,"Level 2","Machakos","Machakos","Machakos Central","open","Medical Clinic","Private",6466,"Machakos",TRUE
"Ivutini Dispensary",-1.6545512,37.3613304,"Level 2","Machakos","Kalama","Kalama","open","Dispensary","Government/Public Entity",6467,"Machakos",TRUE
"Riziki Medical Clinic",-4.5365749,39.3730482,"Level 2","Kwale","Lunga Lunga","Pongwe/Kikokeni","open","Medical Clinic","Private",6468,"Kwale",TRUE
"Ngaru Dispensary",-0.5950658,36.8655571,"Level 2","Nyeri","Nyeri South","Chinga","open","Dispensary","Government/Public Entity",6469,"Nyeri",TRUE
"Njoro Huduma Medical Clinic",-0.327579,35.9422364,"Level 2","Nakuru","Njoro","Njoro","open","Medical Clinic","Private",6470,"Nakuru",TRUE
"Magogoni Dispensary",-1.0589879,37.2685731,"Level 2","Kiambu","Thika Town","Ngoliba","open","Dispensary","Government/Public Entity",6471,"Kiambu",TRUE
"Suva health services",-1.05173,37.0947375,"Level 2","Kiambu","Thika Town","Kamenu","open","Medical Clinic","Private",6472,"Kiambu",TRUE
"Maroba Health Centre",-0.7959575,34.6937361,"Level 3","Kisii","Bomachoge Chache","Boochi/Tendere","open","Health Center","Government/Public Entity",6473,"Kisii",TRUE
"Soliat Dispensary (Eldoret)",0.1608,35.4845768,"Level 2","Uasin Gishu","Ainabkoi","Ainabkoi/Olare","open","Dispensary","Government/Public Entity",6474,"Uasin Gishu",TRUE
"AIC Lalang Amalo Health Centre",-0.5530506,35.7050524,"Level 3","Nakuru","Kuresoi South","Amalo","open","Health Center","Faith Based",6475,"Nakuru",TRUE
"Kisasi Dispensary",0.1015782,34.8486121,"Level 2","Vihiga","Hamisi","Shamakhokho","open","Dispensary","Government/Public Entity",6476,"Vihiga",TRUE
"Mothersolbrit Nursing Home",-1.3065063,34.6157786,"Level 3","Migori","Kuria East","Nyabasi West","open","Nursing Home","Private",6477,"Migori",TRUE
"Kima Dispensary",-1.9624286,37.2541471,"Level 2","Kajiado","Kajiado East","Imaroro","open","Dispensary","Government/Public Entity",6478,"Kajiado",TRUE
"Kiloh Dispensary",-1.9678554,37.1721363,"Level 2","Kajiado","Kajiado East","Imaroro","open","Dispensary","Government/Public Entity",6479,"Kajiado",TRUE
"Muanda Dispensary",0.5562651,34.5011381,"Level 2","Bungoma","Bumula","South Bukusu","open","Dispensary","Government/Public Entity",6480,"Bungoma",TRUE
"Rakwaro Health Centre",-0.3513617,34.7420983,"Level 3","Homa Bay","Karachuonyo","Wang'chieng","open","Health Center","Government/Public Entity",6481,"Homa Bay",TRUE
"Mwikhupo Dispensary",0.7503467,35.0248849,"Level 2","Bungoma","Tongaren","Soysambu/Mitua","open","Dispensary","Government/Public Entity",6482,"Bungoma",TRUE
"Migere Health Centre",-0.1427725,35.1083875,"Level 3","Kisumu","Muhoroni","Masogo/Nyang'oma","open","Health Center","Government/Public Entity",6483,"Kisumu",TRUE
"Odino Health Centre",-0.3768297,34.8095883,"Level 3","Homa Bay","Kabondo Kasipul","Kabondo West","open","Health Center","Government/Public Entity",6484,"Homa Bay",TRUE
"Awach Health Centre",-0.4692384,34.9249386,"Level 3","Homa Bay","Kabondo Kasipul","Kabondo West","open","Health Center","Government/Public Entity",6485,"Homa Bay",TRUE
"Harambee Health Centre",-0.4805595,34.8762374,"Level 3","Homa Bay","Kabondo Kasipul","Kojwach","open","Health Center","Government/Public Entity",6486,"Homa Bay",TRUE
"Kaliati Dispensary",0.0751455,37.77227,"Level 2","Meru","Tigania West","Mbeu","open","Dispensary","Government/Public Entity",6487,"Meru",TRUE
"Kaitheri Youth Friendly Dispensary",-0.5085367,37.280765,"Level 2","Kirinyaga","Kirinyaga Central","Kerugoya","open","Dispensary","Government/Public Entity",6488,"Kirinyaga",TRUE
"Got Winyo Dispensary",-0.05036,34.2694283,"Level 2","Siaya","Bondo","West Sakwa","open","Dispensary","Government/Public Entity",6489,"Siaya",TRUE
"Mbeka Dispensary",-0.1734167,34.1885473,"Level 2","Siaya","Bondo","Central Sakwa","open","Dispensary","Government/Public Entity",6490,"Siaya",TRUE
"Gombe Dispensary",-0.1677749,34.2315472,"Level 2","Siaya","Bondo","South Sakwa","open","Dispensary","Government/Public Entity",6491,"Siaya",TRUE
"Mlungunipa Dispensary",-4.2806679,39.519556,"Level 2","Kwale","Msambweni","Gambato Bongwe","open","Dispensary","Government/Public Entity",6492,"Kwale",TRUE
"Highway medical clinic",-0.3073069,36.0383032,"Level 2","Nakuru","Nakuru West","Kapkures","open","Medical Clinic","Private",6493,"Nakuru",TRUE
"Masinya Dispensary",-0.0632733,34.3303683,"Level 2","Siaya","Bondo","North Sakwa","open","Dispensary","Government/Public Entity",6494,"Siaya",TRUE
"Kiamabara Medical Clinic (Nyeri)",-0.5174787,37.1159845,"Level 2","Nyeri",NA,"Konyu","open","Medical Clinic","Private",6495,"Nyeri",TRUE
"Rayudhi Health Center",-0.8308686,34.3059832,"Level 3","Homa Bay","Ndhiwa","Kwabwai","open","Health Center","Government/Public Entity",6496,"Homa Bay",TRUE
"Konjora Dispensary",-3.5768781,39.8081591,"Level 2","Kilifi","Kilifi North","Kibarani","open","Dispensary","Government/Public Entity",6497,"Kilifi",TRUE
"Shelter of Hope Medical clinic",-0.4848033,34.6000317,"Level 2","Homa Bay","Rangwe","Kagan","open","Medical Clinic","Faith Based",6498,"Homa Bay",TRUE
"Mkondoni Dispensary",-3.1507731,39.7328879,"Level 2","Kilifi","Malindi","Jilore","open","Dispensary","Government/Public Entity",6499,"Kilifi",TRUE
"Sosobora Dispensary",-3.2193616,39.8144874,"Level 2","Kilifi","Malindi","Jilore","open","Dispensary","Government/Public Entity",6500,"Kilifi",TRUE
"Jila Model Health Centre",-3.424737,39.5366934,"Level 3","Kilifi","Ganze","Ganze","open","Health Center","Government/Public Entity",6501,"Kilifi",TRUE
"Kachororoni Dispensary",-3.4818367,39.7439415,"Level 2","Kilifi","Ganze","Ganze","open","Dispensary","Government/Public Entity",6502,"Kilifi",TRUE
"Kasemeni dispensary",-3.756836,39.4801174,"Level 2","Kilifi","Kaloleni","Kayafungo","open","Dispensary","Government/Public Entity",6503,"Kilifi",TRUE
"Ndatani Dispensary (Kaloleni)",-3.689056,39.402532,"Level 2","Kilifi","Kaloleni","Kayafungo","open","Dispensary","Government/Public Entity",6504,"Kilifi",TRUE
"Torochmoi Dispensary",0.7187812,35.3674033,"Level 2","Uasin Gishu","Moiben","Moiben","open","Dispensary","Government/Public Entity",6505,"Uasin Gishu",TRUE
"Kongnyalil Dispensary",0.7894201,35.4629848,"Level 2","Uasin Gishu","Moiben","Karuna/Meibeki","open","Dispensary","Government/Public Entity",6506,"Uasin Gishu",TRUE
"Kaprobu Dispensary",0.67578,35.3083117,"Level 2","Uasin Gishu","Moiben","Sergoit","open","Dispensary","Government/Public Entity",6507,"Uasin Gishu",TRUE
"Cambridge Dental Care (Nairobi)",-1.2591084,36.8142086,"Level 3","Nairobi",NA,"Highridge","open","Medical Clinic","Private",6508,"Nairobi",TRUE
"Saku Alfa Medical Clinic (Marsabit)",2.33173,37.9902869,"Level 2","Marsabit",NA,"Saku","open","Medical Clinic","Private",6509,"Marsabit",TRUE
"Seguton Dispensary",-0.3726717,35.6801717,"Level 2","Nakuru","Kuresoi North","Nyota","open","Dispensary","Government/Public Entity",6511,"Nakuru",TRUE
"Chepkinoiyo dispensary",-0.362842,35.5949368,"Level 2","Nakuru","Kuresoi North","Nyota","open","Dispensary","Government/Public Entity",6512,"Nakuru",TRUE
"Korabariet Dispensary",-0.3710505,35.4708379,"Level 2","Nakuru","Kuresoi North","Kiptororo","open","Dispensary","Government/Public Entity",6513,"Nakuru",TRUE
"Masaita dispensary",-0.3794238,35.7268108,"Level 2","Nakuru","Kuresoi North","Nyota","open","Dispensary","Government/Public Entity",6514,"Nakuru",TRUE
"Choronok dispensary",-0.2137716,35.6613214,"Level 2","Nakuru","Kuresoi North","Sirikwa","open","Dispensary","Government/Public Entity",6515,"Nakuru",TRUE
"Talitia Dispensary",0.4959338,34.5015454,"Level 2","Bungoma","Bumula","Kabula","open","Dispensary","Government/Public Entity",6516,"Bungoma",TRUE
"Ojunge Health Centre",-0.6483145,34.4913546,"Level 3","Homa Bay","Homa Bay Town","Homa Bay Central","open","Health Center","Government/Public Entity",6517,"Homa Bay",TRUE
"Mewa Drop In Centre (Kilifi)",-3.6250154,39.8515806,"Level 2","Kilifi","Kilifi North","Sokoni","open","Medical Clinic","Private",6518,"Kilifi",TRUE
"Machakha Dispensary",0.7555512,34.4388529,"Level 2","Bungoma","Sirisia","Lwandanyi","open","Dispensary","Government/Public Entity",6519,"Bungoma",TRUE
"Walesorea Dispensary (Tana River)",-1.0933317,39.5318558,"Level 2","Tana River",NA,"Hirimani","open","Dispensary","Government/Public Entity",6520,"Tana River",TRUE
"The Samari-Med Centre",-0.6235336,34.5034173,"Level 3","Homa Bay","Homa Bay Town","Homa Bay Central","open","Hospital","Private",6521,"Homa Bay",TRUE
"Imani Medical Centre (Kiamunyi)",-0.2444818,36.0084933,"Level 2","Nakuru","Rongai","Menengai West","open","Health Center","Private",6522,"Nakuru",TRUE
"Gibea Medical Clinic",-0.4784785,36.2969536,"Level 2","Nakuru","Gilgil","Gilgil","open","Medical Clinic","Private",6523,"Nakuru",TRUE
"Beyond Zero Mobile Medical Clinic (Lamu)",-2.2343187,40.8489337,"Level 2","Lamu","Lamu Central","Mkomani","open","Dispensary","Government/Public Entity",6524,"Lamu",TRUE
"RTC Medical Centre",-0.4505937,34.6986262,"Level 3","Homa Bay","Rachuonyo South","Central Kasipul","open","Health Center","Faith Based",6525,"Homa Bay",TRUE
"Kadhiambo dispensary",-0.23379,34.816435,"Level 2","Kisumu","Nyando","Kabonyo/Kanyagwai","open","Dispensary","Government/Public Entity",6526,"Kisumu",TRUE
"Sameta Medicare Centre (Kisii)",-0.7934658,34.73492,"Level 3","Kisii",NA,"Boochi Tendere","open","Medical Center","Private",6527,"Kisii",TRUE
"Syotuvali Dispensary",-1.7416833,37.836285,"Level 2","Makueni","Mbooni","Kalawa","open","Dispensary","Government/Public Entity",6528,"Makueni",TRUE
"Kochieng Health Centre",-0.1569552,34.8659145,"Level 3","Kisumu","Nyando","Kobura","open","Health Center","Government/Public Entity",6529,"Kisumu",TRUE
"Mutuyu Dispensary",-1.6181446,37.3469935,"Level 2","Machakos","Kalama","Kalama","open","Dispensary","Government/Public Entity",6530,"Machakos",TRUE
"Jumupamozzi Medical Centre",-0.0859005,37.6622788,"Level 2","Meru","Imenti South","Nkuene","open","Nursing Home","Private",6531,"Meru",TRUE
"Timiza Medical Centre",-1.3863431,36.9509733,"Level 2","Machakos","Athi River","Syokimau/Mulolongo","open","Health Center","Private",6532,"Machakos",TRUE
"Kombani Dispensary",-4.2003141,39.5884966,"Level 2","Kwale","Matuga","Waangombeni","open","Dispensary","Government/Public Entity",6533,"Kwale",TRUE
"Makuyi Dispensary",0.2507783,34.7870083,"Level 2","Kakamega","Shinyalu","Murhanda","open","Dispensary","Government/Public Entity",6534,"Kakamega",TRUE
"VINYUNDUNI DISPENSARY",-3.9501126,39.1389164,"Level 2","Kwale","Kinango","Mackinon Road","open","Dispensary","Government/Public Entity",6535,"Kwale",TRUE
"Musikoma Dispensary",0.5349828,34.5461228,"Level 2","Bungoma","Kanduyi","Musikoma","open","Dispensary","Government/Public Entity",6536,"Bungoma",TRUE
"Outspan Hospital-Embu Medical Clinic",-0.536517,37.4505205,"Level 2","Embu","Manyatta","Kirimari","open","Medical Clinic","Private",6537,"Embu",TRUE
"Utugi Cfw Clinic",-0.4727648,37.4411872,"Level 2","Embu","Manyatta","Kirimari","open","Medical Clinic","Private",6538,"Embu",TRUE
"Inuka Medical Clinic",-0.0983731,34.7527271,"Level 2","Kisumu","Kisumu Central","Market Milimani","open","Hospital","Private",6539,"Kisumu",TRUE
"Kuoyo Health Center",-0.1045383,34.7828483,"Level 3","Kisumu","Kisumu East","Manyatta B","open","Health Center","Government/Public Entity",6540,"Kisumu",TRUE
"St Lydia Okore Dispensary",-0.0906071,34.760968,"Level 2","Kisumu","Kisumu Central","Railways","open","Dispensary","Government/Public Entity",6541,"Kisumu",TRUE
"Liza Medical clinic",-0.9066484,34.5320665,"Level 2","Migori","Awendo","South Sakwa","open","Medical Clinic","Private",6542,"Migori",TRUE
"Korr Health Centre",2.0040074,37.509399,"Level 3","Marsabit","Laisamis","Korr/Ngurunit","open","Health Center","Government/Public Entity",6543,"Marsabit",TRUE
"Joyland Experts Medical Clinic (Machakos)",-1.4609228,37.436245,"Level 2","Machakos",NA,"Masii/Vyulya","open","Medical Clinic","Private",6544,"Machakos",TRUE
"Katito Medical Centre (Kolweny) (Kisumu)",-0.3317889,34.8542504,"Level 2","Kisumu",NA,"West Nyakach","open","Medical Clinic","Private",6545,"Kisumu",TRUE
"Kiganjo medical clinic",-1.0752151,37.0959446,"Level 2","Kiambu","Thika Town","Kamenu","open","Medical Clinic","Private",6546,"Kiambu",TRUE
"Jamii Medical and Diagnostic centre",-0.5625914,34.9365415,"Level 2","Nyamira","Nyamira","Township","open","Nursing Home","Private",6547,"Nyamira",TRUE
"Kakimanyi Dispensary",0.5493816,34.7404469,"Level 2","Bungoma","Webuye West","Sitikho","open","Dispensary","Government/Public Entity",6548,"Bungoma",TRUE
"Adungosi Medical Clinic",0.5137386,34.1490811,"Level 2","Busia","Teso South","Chakol South","open","Medical Clinic","Private",6549,"Busia",TRUE
"Trans Nzoia Wellness Centre (Neighbours in Action Kenya",1.0148387,35.0005655,"Level 2","Trans Nzoia","Saboti","Matisi","open","Medical Center","Non-Governmental Organization",6550,"Trans Nzoia",TRUE
"Tuwan Highway Medical Clinic",1.0337916,34.9918289,"Level 2","Trans Nzoia","Saboti","Tuwani","open","Medical Clinic","Private",6551,"Trans Nzoia",TRUE
"Scanlab centre Nakuru",-0.2858129,36.0652722,"Level 2","Nakuru","Nakuru East","Biashara","open","Medical Center","Private",6552,"Nakuru",TRUE
"Kanze Pals (Kwale)",-4.3423863,39.5384335,"Level 2","Kwale",NA,"Kinondo","open","Medical Clinic","Private",6553,"Kwale",TRUE
"Nasaka Dispensary",0.6308431,34.6555438,"Level 2","Bungoma","Kabuchai","Bwake/Luuya","open","Dispensary","Government/Public Entity",6554,"Bungoma",TRUE
"Shallom Medical Clinic",0.035251,34.7091717,"Level 2","Vihiga","Vihiga","Central Maragoli","open","Medical Clinic","Private",6555,"Vihiga",TRUE
"Uvaini Dispensary",-0.8635434,37.7617936,"Level 2","Machakos","Masinga","Kivaa","open","Dispensary","Government/Public Entity",6556,"Machakos",TRUE
"Namarambi Dispensary",0.7194267,34.76182,"Level 2","Bungoma","Webuye East","Ndivisi","open","Dispensary","Government/Public Entity",6557,"Bungoma",TRUE
"Olivelink Healthcare (Nairobi)",-1.3088574,36.881267,"Level 3","Nairobi",NA,"Viwandani","open","other","Private",6558,"Nairobi",TRUE
"Mulachi Dispensary",0.6572552,34.7799774,"Level 2","Bungoma","Webuye East","Mihuu","open","Dispensary","Government/Public Entity",6559,"Bungoma",TRUE
"Gakanga Dispensary",-0.3090934,36.74381,"Level 2","Nyeri","Kieni West","Gatarakwa","open","Dispensary","Government/Public Entity",6560,"Nyeri",TRUE
"Beyond Zero Mobile Medical Clinic (Kerugoya)",-0.5054141,37.2815592,"Level 2","Kirinyaga","Kirinyaga Central","Kerugoya","open","Medical Clinic","Government/Public Entity",6561,"Kirinyaga",TRUE
"Beyond Zero Clinic (Migori)",-1.0635596,34.4772248,"Level 2","Migori","Suna East","Suna Central","open","other","Government/Public Entity",6562,"Migori",TRUE
"Koromaiti Community Dispensary",0.6295654,34.8794814,"Level 2","Kakamega","Lugari","Chekalini","open","Dispensary","Government/Public Entity",6563,"Kakamega",TRUE
"Ndeya Medical Clinic Magut",0.5926829,34.9120882,"Level 2","Uasin Gishu","Lugari","Chekalini","open","Medical Clinic","Private",6564,"Uasin Gishu",TRUE
"Kiboko farm Clinic",-1.0326857,37.2280693,"Level 2","Kiambu","Thika Town","Gatuanyaga","open","Dispensary","Private",6565,"Kiambu",TRUE
"Uhembo Community Dispensary",0.1405861,34.2679231,"Level 2","Siaya","Alego Usonga","Central Alego","open","Dispensary","Government/Public Entity",6566,"Siaya",TRUE
"Misikhu Dispensary",0.7099183,34.74877,"Level 2","Bungoma","Webuye West","Misikhu","open","Dispensary","Government/Public Entity",6567,"Bungoma",TRUE
"Miumoni Dispensary",-2.4909301,38.0718691,"Level 2","Makueni","Kibwezi East","Masongaleni","open","Dispensary","Government/Public Entity",6568,"Makueni",TRUE
"Eshibinga Health Centre",0.1367205,34.5924271,"Level 3","Kakamega","Khwisero","Kisa East","open","Health Center","Government/Public Entity",6569,"Kakamega",TRUE
"Got Koyembe Dispensary",0.0337925,34.3566987,"Level 2","Siaya","Alego Usonga","South East Alego","open","Dispensary","Government/Public Entity",6570,"Siaya",TRUE
"KUTAYU DISPENSARY",2.6581103,40.6860578,"Level 2","Mandera","Mandera South","Kutulo","open","Dispensary","Government/Public Entity",6571,"Mandera",TRUE
"Mwanyas Medical Centre",-1.4497936,36.9790314,"Level 2","Machakos","Athi River","Athi River","open","Medical Clinic","Private",6572,"Machakos",TRUE
"Kochieng' Dispensary",0.1260712,34.2199837,"Level 2","Siaya","Alego Usonga","Central Alego","open","Dispensary","Government/Public Entity",6573,"Siaya",TRUE
"Lakeside Family Clinic (Nakuru)",-0.7756484,36.4288793,"Level 2","Nakuru",NA,"Hells Gate","open","Medical Clinic","Private",6575,"Nakuru",TRUE
"Kithoni Dispensary",-1.7136059,37.4787596,"Level 2","Makueni","Mbooni","Kithungo/Kitundu","open","Dispensary","Government/Public Entity",6576,"Makueni",TRUE
"KANCO DIC Kakamega",0.2871982,34.7523584,"Level 2","Kakamega","Lurambi","Sheywe","open","Stand-Alone service","Non-Governmental Organization",6577,"Kakamega",TRUE
"Wheatland Health Services (Nakuru)",-0.6026224,36.012571,"Level 2","Nakuru",NA,"Maunarok","open","Medical Center","Private",6578,"Nakuru",TRUE
"Konza Dispensary",-1.7338957,37.1361716,"Level 2","Machakos","Kalama","Kalama","open","Dispensary","Government/Public Entity",6579,"Machakos",TRUE
"Innercore Out Patient Medical Clinic (Murang'a)",-0.7331268,36.927981,"Level 2","Muranga",NA,"Murarandia","open","Medical Center","Private",6580,"Muranga",TRUE
"Machakos University College Dispensary",-1.531693,37.2615167,"Level 2","Machakos","Machakos","Muvuti/Kiima-kimwe","open","Health Center","Government/Public Entity",6581,"Machakos",TRUE
"Mwamanga Dispensary",-4.2831426,39.5473742,"Level 2","Kwale","Msambweni","Gambato Bongwe","open","Dispensary","Government/Public Entity",6582,"Kwale",TRUE
"Pemah Nursing and Maternity Home",0.0549327,34.303858,"Level 3","Siaya","Alego Usonga","Siaya Township","open","Nursing Home","Private",6583,"Siaya",TRUE
"University of Kabianga Health Unit",-0.4464378,35.1405612,"Level 2","Kericho","Belgut","Kabianga","open","Health Center","Private",6584,"Kericho",TRUE
"IRUMA DISPENSARY",-0.2192781,37.6817348,"Level 2","Tharaka Nithi","Mwimbi","Mwimbi","open","Dispensary","Government/Public Entity",6585,"Tharaka Nithi",TRUE
"Frayocare Medical Centre (Machakos)",-1.3998173,36.9446909,"Level 2","Machakos",NA,"Mlolongo","open","Medical Clinic","Private",6586,"Machakos",TRUE
"Mukwa Dispensary",0.6708009,34.4898941,"Level 2","Bungoma","Bumula","Siboti","open","Dispensary","Government/Public Entity",6587,"Bungoma",TRUE
"Ruungu SDA Dispensary",-0.1283149,37.8750072,"Level 2","Tharaka Nithi","Tharaka South","Marimanti","open","Dispensary","Faith Based",6588,"Tharaka Nithi",TRUE
"Hadley Dispensary",-0.1101866,39.2396676,"Level 2","Tana River","Balambala","Saka","open","Dispensary","Government/Public Entity",6589,"Tana River",TRUE
"Mudey Dispensary",-0.0519898,38.9687676,"Level 2","Tana River","Balambala","Danyere","open","Dispensary","Government/Public Entity",6590,"Tana River",TRUE
"Nkarini Dispensary",-0.2453902,37.8785384,"Level 2","Tharaka Nithi","Tharaka South","Chiakagira","open","Dispensary","Government/Public Entity",6591,"Tharaka Nithi",TRUE
"Mavirivirini Dispensary",-3.9135941,39.4703689,"Level 2","Kwale","Kinango","Mwavumbo","open","Dispensary","Government/Public Entity",6592,"Kwale",TRUE
"Weru Dispensary (Muthambi)",-0.2673985,37.6327224,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Government/Public Entity",6593,"Tharaka Nithi",TRUE
"Pap Oriang' Dispensary",-0.0055383,34.320105,"Level 2","Siaya","Alego Usonga","South East Alego","open","Dispensary","Government/Public Entity",6594,"Siaya",TRUE
"The Aga Khan University Hospital -Peponi Executive (Nairobi city)",-1.2583078,36.8024633,"Level 3","Nairobi",NA,"Parklands Highridge","open","Medical Center","Private",6595,"Nairobi",TRUE
"KAGAANI DISPENSARY",-0.3657997,37.6662087,"Level 2","Tharaka Nithi","Chuka","Mugwe","open","Dispensary","Government/Public Entity",6596,"Tharaka Nithi",TRUE
"Kamonka Dispensary",-0.3055689,37.8248703,"Level 2","Tharaka Nithi","Igambangombe","Igambang'ombe","open","Dispensary","Government/Public Entity",6597,"Tharaka Nithi",TRUE
"Zackii Medical Clinic (Kiambu)",-1.255165,36.7221767,"Level 2","Nairobi",NA,"Uthiru","open","Medical Clinic","Private",6598,"Nairobi",TRUE
"Bliss Medical Centre Kitale",1.0129306,35.0028983,"Level 2","Trans Nzoia","Saboti","Matisi","open","Medical Center","Private",6599,"Trans Nzoia",TRUE
"Capital Medical Clinic",-0.5120246,35.9748584,"Level 2","Nakuru","Njoro","Mauche","open","Medical Center","Private",6600,"Nakuru",TRUE
"Cherryl Medical Clinic",-0.5083288,35.976778,"Level 2","Nakuru","Njoro","Mauche","open","Medical Clinic","Private",6601,"Nakuru",TRUE
"Evans Healthcare Clinic LTD",-0.4969508,34.7455439,"Level 2","Homa Bay","Rachuonyo South","West Kamagak","open","Hospital","Private",6602,"Homa Bay",TRUE
"Rukurini Dispensary",-0.0756036,37.9718468,"Level 2","Tharaka Nithi","Tharaka South","Nkondi","open","Dispensary","Government/Public Entity",6603,"Tharaka Nithi",TRUE
"Kereria Dispensary",-0.0390717,37.9937628,"Level 2","Tharaka Nithi","Tharaka South","Nkondi","open","Dispensary","Government/Public Entity",6605,"Tharaka Nithi",TRUE
"Kirukuma Dispensary",-0.2637512,37.9935797,"Level 2","Tharaka Nithi","Tharaka South","Chiakagira","open","Dispensary","Government/Public Entity",6606,"Tharaka Nithi",TRUE
"Uzima White Medical Clinic",-1.2632618,36.8600637,"Level 2","Nairobi","Mathare","Ngei","open","Medical Clinic","Private",6607,"Nairobi",TRUE
"Jewish Path Laboratory (Nairobi)",-1.2686478,36.719367,"Level 2","Nairobi",NA,"Uthiru/Ruthimitu","open","Stand-Alone service","Private",6608,"Nairobi",TRUE
"Trinity Medical Clinic (Ngong)",-1.3598701,36.6558704,"Level 2","Kajiado","Kajiado North","Ngong","open","other","Private",6609,"Kajiado",TRUE
"Karen Medical Clinic(Ongata Rongai)",-1.3977263,36.7579218,"Level 2","Kajiado","Kajiado North","Ongata Rongai","open","Medical Center","Private",6610,"Kajiado",TRUE
"AAR Ngong Clinic",-1.3582932,36.6571134,"Level 2","Kajiado","Kajiado North","Ngong","open","Medical Clinic","Private",6611,"Kajiado",TRUE
"Tabernacle Medical Clinic",-1.4060138,36.7131799,"Level 2","Kajiado","Kajiado North","Nkaimurunya","open","Medical Clinic","Private",6612,"Kajiado",TRUE
"Nandi County Beyond Zero Mobile Clinic",0.2021563,35.1022673,"Level 2","Nandi","Emgwen","Kapsabet","open","Medical Clinic","Government/Public Entity",6613,"Nandi",TRUE
"Cana Hospital (Kajiado)",-1.4208967,36.7059484,"Level 3","Kajiado",NA,"Nkaimurunya","open","Hospital","Private",6614,"Kajiado",TRUE
"Murang'a County Beyond Zero Clinic",-0.7182664,37.1612798,"Level 2","Muranga","Kiharu","Township","open","other","Government/Public Entity",6615,"Muranga",TRUE
"Mugeka Health Clinic",-0.6426297,37.0925523,"Level 2","Muranga","Kiharu","Gaturi","open","Medical Clinic","Private",6616,"Muranga",TRUE
"Kamuyu Dispensary( Kesses Sub County)",0.2058533,35.3889267,"Level 2","Uasin Gishu","Kesses","Tarakwa","open","Dispensary","Government/Public Entity",6617,"Uasin Gishu",TRUE
"Cheptiret Dispensary",0.3541462,35.3540924,"Level 2","Uasin Gishu","Kesses","Cheptiret/Kipchamo","open","Dispensary","Government/Public Entity",6618,"Uasin Gishu",TRUE
"Mikulinzi Nursing Home",-1.2643951,36.9025701,"Level 3","Nairobi","Embakasi West","Mowlem","open","Nursing Home","Private",6619,"Nairobi",TRUE
"Poneni Medical Clinic",-4.0931227,39.6617634,"Level 2","Mombasa","Likoni","Timbwani","open","Medical Clinic","Private",6620,"Mombasa",TRUE
"Capital Memorial Nursing Home (Kathonzweni)",-1.9082312,37.7243809,"Level 3","Makueni","Makueni","Kathonzweni","open","Nursing Home","Private",6621,"Makueni",TRUE
"Muchorwe Dispensary",0.0334883,35.5150417,"Level 2","Uasin Gishu","Kesses","Tarakwa","open","Dispensary","Government/Public Entity",6622,"Uasin Gishu",TRUE
"Ingolomosio Dispensary",0.3674144,34.9358322,"Level 2","Kakamega","Shinyalu","Isukha North","open","Dispensary","Government/Public Entity",6623,"Kakamega",TRUE
"Chebarus dispensary",0.6378849,35.2213459,"Level 2","Uasin Gishu","Turbo","Kiplombe","open","Dispensary","Government/Public Entity",6624,"Uasin Gishu",TRUE
"Emkwen Dispensary",0.6598078,35.2332448,"Level 2","Uasin Gishu","Turbo","Kiplombe","open","Dispensary","Government/Public Entity",6625,"Uasin Gishu",TRUE
"The Shalom Medical Clinic (Kajiado)",-2.9604167,37.5708034,"Level 2","Kajiado",NA,"Rombo","open","Medical Clinic","Private",6626,"Kajiado",TRUE
"Kamwangu Dispensary",-0.2963042,37.7933302,"Level 2","Tharaka Nithi","Muthambi","Muthambi","open","Dispensary","Government/Public Entity",6627,"Tharaka Nithi",TRUE
"Sambocho Health Centre",0.8242702,34.6509539,"Level 3","Bungoma","Mt Elgon","Elgon","open","Health Center","Faith Based",6628,"Bungoma",TRUE
"Huduma Center Bungoma",0.5672203,34.5600187,"Level 2","Bungoma","Kanduyi","Township","open","Medical Clinic","Government/Public Entity",6629,"Bungoma",TRUE
"Kamuiru Dispensary",-0.49317,37.2406432,"Level 2","Kirinyaga","Kirinyaga Central","Mutira","open","Dispensary","Government/Public Entity",6630,"Kirinyaga",TRUE
